100, -3.6478659194869234
140, -6.030811017343657
180, -8.457752680710877
220, -10.83142552874927
260, -13.14395737819109
300, -15.249429898244436
340, -17.252504566786868
380, -19.271208212572038
420.00000000000006, -20.82421363285608
460.00000000000006, -22.830827873446914
499.99999999999994, -23.90538557154067
540, -25.79498702115624
580, -28.45116012303812
620, -28.81092134375789
660.0000000000002, -29.692199350962625
700, -30.937427343435274
740.0000000000002, -32.057613309978244
780, -34.308531501748384
820, -34.87058042955746
860, -35.47300963719555
900, -36.27168730951742
940.0000000000002, -38.68284401152732
980, -38.826409184631494
